,wheel-base,length,width,curb-weight,num-of-cylinders,engine-size,bore,horsepower,city-mpg,highway-mpg,price,drive-wheels_fwd,drive-wheels_rwd,fuel-system_2bbl,fuel-system_mpfi
0,88.6,168.8,64.1,2548,,130,3.47,,21,27,13495,0,1,0,1
1,88.6,,64.1,2548,4,130,3.47,111,21,27,16500,0,1,0,1
2,94.5,171.2,,2823,6,152,2.68,154,,26,16500,0,1,0,1
3,99.8,176.6,66.2,2337,4,109,,102,,30,13950,1,0,0,1
4,99.4,176.6,66.4,2824,5,136,3.19,115,18,22,17450,0,0,0,1
5,99.8,177.3,66.3,2507,5,136,3.19,110,19,25,15250,1,0,0,1
6,105.8,192.7,71.4,2844,5,136,3.19,110,19,25,17710,1,0,0,1
7,105.8,192.7,71.4,2954,5,136,3.19,110,19,25,18920,1,0,0,1
8,105.8,192.7,71.4,3086,5,131,3.13,140,17,20,23875,1,0,0,1
9,101.2,176.8,64.8,2395,4,108,3.5,101,23,29,16430,0,1,0,1
10,101.2,176.8,64.8,2395,4,108,3.5,101,23,29,16925,0,1,0,1
11,101.2,176.8,64.8,2710,6,164,3.31,121,21,28,20970,0,1,0,1
12,101.2,176.8,64.8,2765,6,164,3.31,121,21,28,21105,0,1,0,1
13,103.5,189.0,66.9,3055,6,164,3.31,121,20,25,24565,0,1,0,1
14,103.5,189.0,66.9,3230,6,209,3.62,182,16,22,30760,0,1,0,1
15,103.5,193.8,67.9,3380,6,209,3.62,182,16,22,41315,0,1,0,1
16,110.0,197.0,70.9,3505,6,209,3.62,182,15,20,36880,0,1,0,1
17,88.4,141.1,60.3,1488,3,61,2.91,48,47,53,5151,1,0,1,0
18,94.5,155.9,63.6,1874,4,90,3.03,70,38,43,6295,1,0,1,0
19,94.5,158.8,63.6,1909,4,90,3.03,70,38,43,6575,1,0,1,0
20,93.7,157.3,63.8,1876,4,90,2.97,68,37,41,5572,1,0,1,0
21,93.7,157.3,63.8,1876,4,90,2.97,68,31,38,6377,1,0,1,0
22,93.7,157.3,63.8,2128,4,98,3.03,102,24,30,7957,1,0,0,1
23,93.7,157.3,63.8,1967,4,90,2.97,68,31,38,6229,1,0,1,0
24,93.7,157.3,63.8,1989,4,90,2.97,68,31,38,6692,1,0,1,0
25,93.7,157.3,63.8,1989,4,90,2.97,68,31,38,7609,1,0,1,0
26,93.7,157.3,63.8,2191,4,98,3.03,102,24,30,8558,1,0,0,1
27,103.3,174.6,64.6,2535,4,122,3.34,88,24,30,8921,1,0,1,0
28,95.9,173.2,66.3,2811,4,156,3.6,145,19,24,12964,1,0,0,0
29,86.6,144.6,63.9,1713,4,92,2.91,58,49,54,6479,1,0,0,0
30,86.6,144.6,63.9,1819,4,92,2.91,76,31,38,6855,1,0,0,0
31,93.7,150.0,64.0,1837,4,79,2.91,60,38,42,5399,1,0,0,0
32,93.7,150.0,64.0,1940,4,92,2.91,76,30,34,6529,1,0,0,0
33,93.7,150.0,64.0,1956,4,92,2.91,76,30,34,7129,1,0,0,0
34,96.5,163.4,64.0,2010,4,92,2.91,76,30,34,7295,1,0,0,0
35,96.5,157.1,63.9,2024,4,92,2.92,76,30,34,7295,1,0,0,0
36,96.5,167.5,65.2,2236,4,110,3.15,86,27,33,7895,1,0,0,0
37,96.5,167.5,65.2,2289,4,110,3.15,86,27,33,9095,1,0,0,0
38,96.5,175.4,65.2,2304,4,110,3.15,86,27,33,8845,1,0,0,0
39,96.5,175.4,62.5,2372,4,110,3.15,86,27,33,10295,1,0,0,0
40,96.5,175.4,65.2,2465,4,110,3.15,101,24,28,12945,1,0,0,1
41,96.5,169.1,66.0,2293,4,110,3.15,100,25,31,10345,1,0,1,0
42,94.3,170.7,61.8,2337,4,111,3.31,78,24,29,6785,0,1,1,0
43,96.0,172.6,65.2,2734,4,119,3.43,90,24,29,11048,0,1,0,0
44,113.0,199.6,69.6,4066,6,258,3.63,176,15,19,32250,0,1,0,1
45,113.0,199.6,69.6,4066,6,258,3.63,176,15,19,35550,0,1,0,1
46,102.0,191.7,70.6,3950,12,326,3.54,262,13,17,36000,0,1,0,1
47,93.1,159.1,64.2,1890,4,91,3.03,68,30,31,5195,1,0,1,0
48,93.1,159.1,64.2,1900,4,91,3.03,68,31,38,6095,1,0,1,0
49,93.1,159.1,64.2,1905,4,91,3.03,68,31,38,6795,1,0,1,0
50,93.1,166.8,64.2,1945,4,91,3.03,68,31,38,6695,1,0,1,0
51,93.1,166.8,64.2,1950,4,91,3.08,68,31,38,7395,1,0,1,0
52,95.3,169.0,65.7,2380,2,70,3.330710659898477,101,17,23,10945,0,1,0,0
53,95.3,169.0,65.7,2380,2,70,3.330710659898477,101,17,23,11845,0,1,0,0
54,95.3,169.0,65.7,2385,2,70,3.330710659898477,101,17,23,13645,0,1,0,0
55,95.3,169.0,65.7,2500,2,80,3.330710659898477,135,16,23,15645,0,1,0,1
56,98.8,177.8,66.5,2385,4,122,3.39,84,26,32,8845,1,0,1,0
57,98.8,177.8,66.5,2410,4,122,3.39,84,26,32,8495,1,0,1,0
58,98.8,177.8,66.5,2385,4,122,3.39,84,26,32,10595,1,0,1,0
59,98.8,177.8,66.5,2410,4,122,3.39,84,26,32,10245,1,0,1,0
60,98.8,177.8,66.5,2443,4,122,3.39,64,36,42,10795,1,0,0,0
61,98.8,177.8,66.5,2425,4,122,3.39,84,26,32,11245,1,0,1,0
62,104.9,175.0,66.1,2670,4,140,3.76,120,19,27,18280,0,1,0,1
63,104.9,175.0,66.1,2700,4,134,3.43,72,31,39,18344,0,1,0,0
64,110.0,190.9,70.3,3515,5,183,3.58,123,22,25,25552,0,1,0,0
65,110.0,190.9,70.3,3750,5,183,3.58,123,22,25,28248,0,1,0,0
66,106.7,187.5,70.3,3495,5,183,3.58,123,22,25,28176,0,1,0,0
67,115.6,202.6,71.7,3770,5,183,3.58,123,22,25,31600,0,1,0,0
68,115.6,202.6,71.7,3740,8,234,3.46,155,16,18,34184,0,1,0,1
69,96.6,180.3,70.5,3685,8,234,3.46,155,16,18,35056,0,1,0,1
